receptor,site_id,copy,ligand,smiles,center_x,center_y,center_z,box_size,success,binding_energy,output
a9a10_2to3_apo_reference,4,1,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,-18.02,-27.42,3.82,15,True,-4.588,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site4_copy1_ascorbate_docked.pdb
a9a10_2to3_apo_reference,12,1,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,-37.83,30.79,32.07,15,True,-4.888,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site12_copy1_ascorbate_docked.pdb
a9a10_2to3_apo_reference,11,1,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,-31.16,-1.9,-14.78,15,True,-5.017,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site11_copy1_ascorbate_docked.pdb
a9a10_2to3_apo_reference,39,1,ascorbate,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,-4.83,3.07,4.71,15,True,-4.32,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site39_copy1_ascorbate_docked.pdb
a9a10_2to3_apo_reference,23,1,acetate,CC(=O)[O-],-11.65,38.0,22.41,15.98,True,-3.182,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site23_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,23,2,acetate,CC(=O)[O-],-28.71,-9.88,33.2,15,True,-3.145,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site23_copy2_acetate_docked.pdb
a9a10_2to3_apo_reference,5,1,acetate,CC(=O)[O-],-7.28,38.04,44.94,17.34,True,-2.2,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site5_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,5,2,acetate,CC(=O)[O-],-51.89,-12.06,27.91,16.32,True,-2.341,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site5_copy2_acetate_docked.pdb
a9a10_2to3_apo_reference,34,1,acetate,CC(=O)[O-],15.14,-8.22,-12.15,15,True,-2.284,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site34_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,21,1,acetate,CC(=O)[O-],-19.98,43.78,33.68,19.119999999999997,True,-2.769,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site21_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,21,2,acetate,CC(=O)[O-],-43.71,-3.13,39.19,15,True,-2.47,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site21_copy2_acetate_docked.pdb
a9a10_2to3_apo_reference,7,1,acetate,CC(=O)[O-],-56.07,17.94,-1.72,15,True,-1.874,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site7_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,7,2,acetate,CC(=O)[O-],-30.51,50.2,9.34,17.2,True,-2.106,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site7_copy2_acetate_docked.pdb
a9a10_2to3_apo_reference,7,3,acetate,CC(=O)[O-],-24.94,-0.85,54.52,15,True,-2.123,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site7_copy3_acetate_docked.pdb
