compound_id,stoichiometry,site_id,binding_energy,n_contacts,h_bonds,salt_bridges,aromatic,hydrophobic,vdw,contact_residues
28,2to3,21,-6.216,0,0,0,0,0,0,
28,2to3,34,-7.675,0,0,0,0,0,0,
28,2to3,35,-7.54,0,0,0,0,0,0,
28,2to3,18,-5.683,0,0,0,0,0,0,
28,2to3,25,-5.293,0,0,0,0,0,0,
28,2to3,11,-6.35,0,0,0,0,0,0,
29,2to3,23,-4.634,0,0,0,0,0,0,
29,2to3,5,-7.086,0,0,0,0,0,0,
29,2to3,21,-6.601,0,0,0,0,0,0,
29,2to3,34,-8.508,0,0,0,0,0,0,
29,2to3,35,-8.534,0,0,0,0,0,0,
29,2to3,18,-5.788,0,0,0,0,0,0,
29,2to3,25,-6.219,0,0,0,0,0,0,
29,2to3,11,-6.961,0,0,0,0,0,0,
30,2to3,23,-5.72,0,0,0,0,0,0,
30,2to3,5,-8.119,0,0,0,0,0,0,
30,2to3,21,-7.282,0,0,0,0,0,0,
30,2to3,34,-9.06,0,0,0,0,0,0,
30,2to3,35,-9.044,0,0,0,0,0,0,
30,2to3,18,-6.09,0,0,0,0,0,0,
30,2to3,25,-6.978,0,0,0,0,0,0,
30,2to3,11,-7.459,0,0,0,0,0,0,
1,3to2,23,-6.946,0,0,0,0,0,0,
1,3to2,5,-7.304,0,0,0,0,0,0,
1,3to2,21,-6.175,0,0,0,0,0,0,
1,3to2,34,-7.858,0,0,0,0,0,0,
1,3to2,35,-7.875,0,0,0,0,0,0,
1,3to2,18,-6.362,0,0,0,0,0,0,
1,3to2,25,-7.008,0,0,0,0,0,0,
1,3to2,11,-8.016,0,0,0,0,0,0,
2,3to2,23,-6.504,0,0,0,0,0,0,
2,3to2,5,-7.872,0,0,0,0,0,0,
2,3to2,21,-6.279,0,0,0,0,0,0,
2,3to2,34,-8.12,0,0,0,0,0,0,
2,3to2,35,-7.728,0,0,0,0,0,0,
2,3to2,18,-6.27,0,0,0,0,0,0,
2,3to2,25,-6.495,0,0,0,0,0,0,
