compound_id,site_id,is_active,mean_energy,min_energy,max_energy,std_energy,n_stoichiometries,consensus
24,34,True,-9.124500000000001,-9.753,-8.496,0.6284999999999998,2,True
30,34,False,-9.105,-9.15,-9.06,0.04499999999999993,2,True
19,34,False,-9.083,-9.292,-8.874,0.20899999999999963,2,True
25,34,True,-8.3135,-8.676,-7.951,0.3625000000000002,2,True
1,34,True,-8.285499999999999,-8.713,-7.858,0.42749999999999977,2,True
2,34,True,-8.251999999999999,-8.384,-8.12,0.13200000000000056,2,True
29,34,False,-8.0125,-8.508,-7.517,0.4954999999999994,2,True
26,34,False,-7.999,-8.289,-7.709,0.29000000000000004,2,True
23,34,False,-7.933,-8.15,-7.716,0.21700000000000008,2,True
28,34,False,-7.3525,-7.675,-7.03,0.3224999999999998,2,True
14,35,False,-12.467,-12.605,-12.329,0.1379999999999999,2,True
11,35,False,-11.849,-12.685,-11.013,0.8360000000000003,2,True
6,35,False,-11.429,-11.704,-11.154,0.27500000000000036,2,True
16,35,False,-11.2105,-11.798,-10.623,0.5875000000000004,2,True
8,35,False,-10.66,-10.972,-10.348,0.3119999999999994,2,True
18,35,True,-10.65,-11.077,-10.223,0.4269999999999996,2,True
10,35,False,-10.5465,-10.786,-10.307,0.2394999999999996,2,True
12,35,True,-10.466000000000001,-10.932,-10.0,0.4660000000000002,2,True
15,35,False,-10.4525,-10.839,-10.066,0.38649999999999984,2,True
4,35,False,-10.378,-10.792,-9.964,0.4139999999999997,2,True
17,35,False,-10.374500000000001,-10.676,-10.073,0.3014999999999999,2,True
7,35,False,-10.358,-10.444,-10.272,0.0860000000000003,2,True
20,35,False,-9.8765,-10.432,-9.321,0.5555000000000003,2,True
13,35,False,-9.876000000000001,-10.396,-9.356,0.5200000000000005,2,True
9,35,False,-9.810500000000001,-9.904,-9.717,0.0934999999999997,2,True
27,35,False,-9.7495,-9.764,-9.735,0.014499999999999957,2,True
3,35,True,-9.628,-10.0,-9.256,0.3719999999999999,2,True
21,35,False,-9.3015,-9.408,-9.195,0.1064999999999996,2,True
5,35,False,-9.2585,-9.462,-9.055,0.20350000000000001,2,True
30,35,False,-9.197500000000002,-9.351,-9.044,0.1535000000000002,2,True
22,35,False,-9.186,-9.572,-8.8,0.38599999999999923,2,True
24,35,True,-9.0945,-9.127,-9.062,0.03250000000000064,2,True
19,35,False,-8.974499999999999,-9.241,-8.708,0.26649999999999974,2,True
25,35,True,-8.333,-8.706,-7.96,0.3729999999999998,2,True
1,35,True,-8.2735,-8.672,-7.875,0.3985000000000003,2,True
29,35,False,-8.1095,-8.534,-7.685,0.42450000000000054,2,True
2,35,True,-8.048,-8.368,-7.728,0.3200000000000003,2,True
26,35,False,-7.984,-8.25,-7.718,0.266,2,True
23,35,False,-7.9425,-8.174,-7.711,0.2314999999999996,2,True
28,35,False,-7.286,-7.54,-7.032,0.254,2,True
15,5,False,-9.658,-9.946,-9.37,0.28800000000000026,2,True
16,5,False,-9.435500000000001,-9.624,-9.247,0.18850000000000033,2,True
4,5,False,-9.1475,-9.652,-8.643,0.5044999999999993,2,True
11,5,False,-9.0565,-10.229,-7.884,1.1724999999999994,2,True
18,5,True,-9.0185,-9.27,-8.767,0.25150000000000006,2,True
27,5,False,-8.905999999999999,-8.963,-8.849,0.0569999999999995,2,True
8,5,False,-8.876000000000001,-9.015,-8.737,0.13900000000000023,2,True
12,5,True,-8.845,-8.922,-8.768,0.07699999999999996,2,True
9,5,False,-8.838000000000001,-8.94,-8.736,0.10199999999999942,2,True
21,5,False,-8.6445,-8.994,-8.295,0.3494999999999999,2,True
19,5,False,-8.576,-9.216,-7.936,0.6399999999999997,2,True
20,5,False,-8.559000000000001,-8.869,-8.249,0.3099999999999996,2,True
10,5,False,-8.504,-8.779,-8.229,0.27500000000000036,2,True
13,5,False,-8.3685,-8.463,-8.274,0.09450000000000003,2,True
6,5,False,-8.315,-8.446,-8.184,0.13100000000000023,2,True
7,5,False,-8.263,-8.541,-7.985,0.278,2,True
17,5,False,-8.245000000000001,-8.676,-7.814,0.43100000000000005,2,True
24,5,True,-8.1525,-8.213,-8.092,0.06049999999999933,2,True
3,5,True,-7.922,-8.665,-7.179,0.7429999999999994,2,True
30,5,False,-7.867,-8.119,-7.615,0.2519999999999998,2,True
5,5,False,-7.6745,-7.778,-7.571,0.10349999999999993,2,True
22,5,False,-7.5515,-7.978,-7.125,0.4264999999999999,2,True
14,5,False,-7.4975,-10.027,-4.968,2.5294999999999996,2,True
29,5,False,-7.2195,-7.353,-7.086,0.13349999999999973,2,True
2,5,True,-7.1365,-7.872,-6.401,0.7355,2,True
25,5,True,-6.917,-7.397,-6.437,0.48,2,True
1,5,True,-6.913,-7.304,-6.522,0.391,2,True
26,5,False,-6.895,-7.289,-6.501,0.3939999999999997,2,True
23,5,False,-6.8294999999999995,-7.566,-6.093,0.7364999999999999,2,True
28,5,False,-6.3235,-6.849,-5.798,0.5255000000000001,2,True
