compound_id,smiles,is_active,activity_uM,potentiation_pct,stoichiometry,site_id,site_description,binding_energy,has_pose
9,CCCCOC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,21,ECD alpha9/alpha10,-7.648,True
9,CCCCOC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,34,TMD M2 pore,-10.565,True
9,CCCCOC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,35,TMD M2,-9.717,True
9,CCCCOC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,18,ECD alpha10/alpha10,-7.414,True
9,CCCCOC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,25,ECD alpha9/alpha10,-8.142,True
9,CCCCOC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,False,0,0,2to3,11,ECD alpha10/alpha9,-8.895,True
10,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)CO1)C,False,0,0,2to3,23,ECD alpha9/alpha10,-6.058,True
10,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)CO1)C,False,0,0,2to3,5,ECD alpha9/alpha10,-8.229,True
10,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)CO1)C,False,0,0,2to3,21,ECD alpha9/alpha10,-8.372,True
10,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)CO1)C,False,0,0,2to3,34,TMD M2 pore,-10.333,True
10,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)CO1)C,False,0,0,2to3,35,TMD M2,-10.307,True
10,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)CO1)C,False,0,0,2to3,18,ECD alpha10/alpha10,-7.0,True
10,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)CO1)C,False,0,0,2to3,25,ECD alpha9/alpha10,-8.591,True
10,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)CO1)C,False,0,0,2to3,11,ECD alpha10/alpha9,-8.52,True
